Name,Date,Location,Type,Region
John Cole & Peter de Lory,Now through 1/27/2024, Harris Harvey Gallery,Visual Arts & Galleries,Downtown
The Puppet Masters: Making Fools of Us All,Now through 1/27/2024, Gallery 110,Visual Arts & Galleries,Pioneer Square
Whim Wâ€™him: Winter 24,Now through 1/27/2024, Cornish Playhouse at Seattle Center,Dance,Queen Anne / Seattle Center
Compania Nacional de Danza,Now through 1/27/2024, Meany Center for the Performing Arts,Dance,University District
Metropolis,Now through 1/27/2024, Benaroya Hall,Music,Downtown
Andy Coe Band,Now through 1/27/2024, Nectar Lounge,Music,Fremont / Ballard
Align,1/27/2024, High Dive,Music,Fremont / Ballard
Billy Idol and Duran Duran Tribute Night,1/27/2024, Sunset Tavern,Music,Fremont / Ballard
Crack Sabbath,1/27/2024, Sea Monster Lounge,Music,Wallingford / Greenlake
